elapsed.ps,repeats.n,param.array.array
21669,100000,array<integer>[3]
22044,100000,array<integer>[3]
21483,100000,array<integer>[3]
21331,100000,array<integer>[3]
21450,100000,array<integer>[3]
22039,100000,array<integer>[3]
21979,100000,array<integer>[3]
21759,100000,array<integer>[3]
21825,100000,array<integer>[3]
21962,100000,array<integer>[3]
22154,100000,array<integer>[3]
22122,100000,array<integer>[3]
21424,100000,array<integer>[3]
21755,100000,array<integer>[3]
21712,100000,array<integer>[3]
21937,100000,array<integer>[3]
23124,100000,array<integer>[3]
22739,100000,array<integer>[3]
21527,100000,array<integer>[3]
21777,100000,array<integer>[3]
21385,100000,array<integer>[3]
21825,100000,array<integer>[3]
23668,100000,array<integer>[3]
22687,100000,array<integer>[3]
21724,100000,array<integer>[3]
21673,100000,array<integer>[3]
21466,100000,array<integer>[3]
22753,100000,array<integer>[3]
23790,100000,array<integer>[3]
21549,100000,array<integer>[3]
22085,100000,array<integer>[3]
21399,100000,array<integer>[3]
21968,100000,array<integer>[3]
21925,100000,array<integer>[3]
25020,100000,array<integer>[3]
21505,100000,array<integer>[3]
21772,100000,array<integer>[3]
21599,100000,array<integer>[3]
21578,100000,array<integer>[3]
22154,100000,array<integer>[3]
22401,100000,array<integer>[3]
21508,100000,array<integer>[3]
