runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
2,3267,52257,10000,108
2,3257,77246,10000,334
2,3264,51373,10000,75
2,3262,107319,10000,674
2,3270,100034,10000,560
2,3257,76934,10000,316
2,3257,119342,10000,798
2,3260,112591,10000,701
2,3263,79641,10000,324
2,3271,123061,10000,843
2,3262,44453,10000,15
2,3260,115900,10000,729
2,3256,81016,10000,317
2,3268,103155,10000,618
2,3258,116771,10000,816
2,3259,93128,10000,450
2,3257,101641,10000,569
2,3263,131794,10000,923
2,3276,165130,10000,913
2,3259,72480,10000,250
2,3267,92501,10000,437
2,3260,111428,10000,751
2,3271,98985,10000,512
2,3299,98288,10000,535
2,3294,60866,10000,130
2,3261,101836,10000,602
2,3263,115972,10000,770
2,3259,100166,10000,570
2,3259,103842,10000,640
2,3260,135920,10000,997
2,3258,130847,10000,914
2,3263,51033,10000,67
2,3257,46789,10000,46
2,3259,103533,10000,638
2,3290,100234,10000,520
2,3260,132823,10000,918
2,3258,103373,10000,648
2,3253,138588,10000,977
2,3260,127211,10000,858
2,3260,133108,10000,963
2,3262,96024,10000,469
2,5074,107316,10000,636
2,3268,94572,10000,520
2,3260,136096,10000,933
2,3257,55005,10000,107
2,3326,79987,10000,338
2,3259,96901,10000,488
2,3259,67680,10000,220
2,3259,110859,10000,688
2,3346,71664,10000,178
2,3259,108583,10000,620
2,3260,45068,10000,40
2,3258,138909,10000,999
2,3260,117869,10000,778
2,3266,54981,10000,128
2,3259,114272,10000,739
2,3260,120162,10000,719
2,3269,69665,10000,242
2,3265,58676,10000,160
2,3315,75030,10000,307
2,3262,69110,10000,241
2,3261,45889,10000,42
2,3257,84765,10000,334
2,3266,114587,10000,720
2,3267,53533,10000,106
2,3260,117616,10000,715
2,3263,125797,10000,808
2,3271,90334,10000,435
2,3258,133743,10000,913
2,3308,46067,10000,46
2,3266,84882,10000,373
3,3899,191136,10000,742
3,4867,86822,10000,19
3,3896,73817,10000,52
3,3895,216663,10000,857
3,3896,206720,10000,814
3,3897,201838,10000,848
3,3893,171331,10000,653
3,3946,84611,10000,118
3,3956,57842,10000,15
3,3900,163157,10000,540
3,3897,105446,10000,196
3,3895,169960,10000,600
3,3895,220297,10000,901
3,4870,171452,10000,664
3,3897,126173,10000,315
3,4870,173267,10000,597
3,4873,170730,10000,637
3,3896,199092,10000,846
3,3977,128407,10000,344
3,3897,78910,10000,75
3,3903,126331,10000,310
3,3899,205983,10000,917
3,3900,187344,10000,751
3,3898,72400,10000,35
3,3897,295821,10000,1017
3,3898,163840,10000,796
3,4864,80865,10000,74
3,3902,139558,10000,390
3,3898,137813,10000,339
3,3899,142844,10000,318
3,3899,174056,10000,686
3,4873,95833,10000,155
3,3897,64524,10000,13
3,4867,108988,10000,208
3,3897,198998,10000,826
3,3896,104049,10000,202
3,3898,60524,10000,36
3,3904,68177,10000,39
3,3896,160031,10000,559
3,4904,178554,10000,649
3,3899,202842,10000,843
3,4916,214139,10000,970
3,3901,223014,10000,962
3,4863,136208,10000,467
3,3900,109580,10000,213
3,3896,206906,10000,822
3,3899,182718,10000,745
3,4869,80469,10000,78
3,3899,81634,10000,84
3,4877,63605,10000,11
3,4867,199641,10000,701
3,4871,76859,10000,63
3,3899,195528,10000,882
3,3896,120612,10000,299
3,3900,191385,10000,811
3,4883,117911,10000,300
3,3904,90145,10000,115
3,4874,86639,10000,91
3,4865,173435,10000,562
